DROGUERIA PARA TI;CRA 19 33 89;5923439;COLOMBIA;SANTANDER;BUCARAMANGA
ABASTOS ARJONA;CRA  3A 37 19;5923439;COLOMBIA;BOLIVAR;ARJONA
CIGARRERIA EL PORVENIR 1;CRA 86 77 A 16;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
DROGUERIA SUPERPHARMA;CR 33 32 06;5923439;COLOMBIA;SANTANDER;BUCARAMANGA
FAVA TINTALITO;CR 86 B 42 B 54 SUR LC 105 - 106;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
TERPEL PALMITAS;VTE LAS PALMAS  AER JMC;5923439;COLOMBIA;ANTIOQUIA;RIONEGRO
CAFETERIA CABANASTAR;TERMINAL TRANSPORTE LC  7;5923439;COLOMBIA;SANTANDER;SAN GIL
AGENCIA DE LOTERIAS RAMON ALBERTO CHINCHILLA;CRA 10 11 10;5923439;COLOMBIA;NORTE DE SANTANDER;OCANA
DROGUERIA Y AUTOSERVICIO ARISTI SAS;CL 94 21 82;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
PHARMACY DROGUERIAS;AV EL BOSQUE 54 52;5923439;COLOMBIA;SANTANDER;FLORIDABLANCA
PPAGO LOTERIAS Y ASTRO;GTECH BOGOTA;59234390;COLOMBIA;BOGOTA D.C.;BOGOTA
IIAGO LOTERIAS Y ASTRO;GTECH BOGOTA;59234390;;BOGOTA D.C.;BOGOTA
CARREFOUR CHIA;AV PRADILLA 2ESTE 19;5923439;COLOMBIA;CUNDINAMARCA;CHIA
CARREFOUR SUBA;CL 146A 106 20;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
S.A.I. NEW EMPRESA UNIPERSONAL;CRA 1 2 58;5923439;COLOMBIA;BOLIVAR;CANTAGALLO
PASTELERIA BARTOLILLO;CL 83 A 46 20 BL 25 LC 22;5923439;COLOMBIA;ANTIOQUIA;ITAGUI
DROGUERIA SANTAMARIA DEL SUR;TERMINAL DEL SUR LC 121;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
DROGUERIA LOS ALMENDROS;CL 65 56 B 09;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
SUPERPHARMA NO. 18;CL 44 66 50;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
ESTACION DE SERVICIO EL CANELON Y CIA LTDA;CAJICA  CHIA  KM 3 PETROBRAS;5923439;COLOMBIA;CUNDINAMARCA;CAJICA
CENTRO COPIADO;CL 7 CRA  4 Y 5 LC 101;5923439;COLOMBIA;ANTIOQUIA;PUERTO BERRIO
OLIMPICA BUGA;CALLE 4 NO. 11-93;5923439;COLOMBIA;VALLE DEL CAUCA;BUGA
SUPERPHARMA QUINCE;CR 6 5 73;5923439;COLOMBIA;TOLIMA;PURIFICACION
DROGUERIA GRATAMIRA;CRA 67 106 C 16;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
CINE A CASA;CL 31 23 15 LC 2;5923439;COLOMBIA;SANTANDER;FLORIDABLANCA
SUPERPHARMA MELGAR NO. 3;CL 7 22 54/26 ESQ.;5923439;COLOMBIA;TOLIMA;MELGAR
CARREFOUR BARRANQUILLA;CR 56 75 155;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
LONGTER SERVICIOS INTEGRADOS DE CAPACITACION Y COMUNICACION;CL 1 69 19;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
RAPITIENDA RIVERAS EXPRESS;CRA  54 CL 2A  ESQ;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
RAPITIENDA RIVERAS EXPRESS;CRA  54 CL 2A  ESQ;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
RAPITIENDA RIVERAS EXPRESS;CRA  54 CL 2A  ESQ;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
GANALOTO;CRA  1 TR 32;5923439;COLOMBIA;VALLE DEL CAUCA;PALMIRA
COMUNICACIONES SAN ANDRESITO;CL 37 14 74 C-1;5923439;COLOMBIA;SANTANDER;BUCARAMANGA
MULTISERVCIO HOLGUINES;CRA 100 11 60 BURBUJA H;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
ACU´A PALERMO;CR 13 42 37;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA PALERMO;CR 13 42 37;5923439;;BOGOTA D.C.;BOGOTA
SURTITODO;CL 4 7 14;5923439;COLOMBIA;TOLIMA;FRESNO
DROGUERIA CR 30;CRA 30 75 A  60;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
DROGUERIA MEDICEC;CL 128 121C 73;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
BOTICA JUNIN N. 46;CR 13 CL 101 ESQUINA;5923439;COLOMBIA;ANTIOQUIA;TURBO
TULIA MATIZ DE L. CIA. S.C.S.;PASAJE SANTANDER LC 6;5923439;COLOMBIA;SANTANDER;BUCARAMANGA
BOTICA JUNIN N. 45;CR 100 97 06;5923439;COLOMBIA;ANTIOQUIA;APARTADO
DROGUERI DOCTOR GENERICO I;CL 58 A 37 56;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
CIGARRERIA ENVIGADO Y JUGOS LA VIDA;CRA  42 37 SUR 68;5923439;COLOMBIA;ANTIOQUIA;ENVIGADO
DROGAS LA BOTICA DE LA CORDIALIDAD;CL 47 13 C 65;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TIENDA EL AGUILA;CRA 46 63 56;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TIENDA  LA ANTIOQUENITA CENTRO;CRA  43 47 06;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
SUPERPHARMA NO. 32;CL 42 69 115;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
REPOSTERIA Y VENTA DE HELADOS KUNG FU;CRA  79 53 07;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
ACU´A CALLE 72;CL 72 13 24;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA CALLE 72;CL 72 13 24;5923439;;BOGOTA D.C.;BOGOTA
ACU´A SALITRE 1;CL 24 69 A 59;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA SALITRE 1;CL 24 69 A 59;5923439;;BOGOTA D.C.;BOGOTA
TIEN.DE VIVE.LA COSTENITA DEL TABOR;CL 94 42F 06;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
ACU´A MARSELLA;CR 69C 6A 34;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA MARSELLA;CR 69C 6A 34;5923439;;BOGOTA D.C.;BOGOTA
ACU´A MODELIA;CRA. 84 B 24C - 26;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA MODELIA;CRA. 84 B 24C - 26;5923439;;BOGOTA D.C.;BOGOTA
IMPERIAL DE DROGAS NO. 2;CR 69 B 35 05 SUR;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACU´A SALITRE 2;DG 22B 68C 25 LOCAL 2;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACU´A SALITRE 2;DG 22B 68C 25 LOCAL 2;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
SALITRE 2;DG 22B 68C 25 LOCAL 2;5923439;;BOGOTA D.C.;BOGOTA
SAO ARMENIA CL 19;CL 19 NTE 13 09;5923439;COLOMBIA;QUINDIO;ARMENIA
SAO ARMENIA CL 19;CL 19 NTE 13 09;5923439;COLOMBIA;QUINDIO;ARMENIA
HERNANDEZ MORENO FRANCISCO;CRA 44 30 07;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
DROGAS LA BOTICA PARAISO;CL 84 67 54 LC 3;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
LICORERA ORQUIDEA REAL;CL 45 1H 03;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
KIOSKO LA LOCHA;TERMINAL DE TRANSPOTES LOS CAMBULOS LC 15;5923439;COLOMBIA;CALDAS;MANIZALES
SUPERPHARMA KENNEDY N2.;CL 37 SU 78J 33;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
SUPERPHARMAGALAN N1;CR 56 2B 98;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ALKOSTO CENTRO;CL 19 28 69;5923439;COLOMBIA;NARINO;PASTO
ALKOSTO AV BOLIVAR;CL 22 6 28;5923439;COLOMBIA;NARINO;PASTO
SUPERPHARMA KENNEDY NO 1;CR 76 36 98 SUR;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
PANAD. REFRES. SANTANDER;CRA  45 40 12;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TIENDA Y ESTADERO LA CIVICA;CL 40 43 166;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
ACU´A CALLE 109;TR 20 108 A 95;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA CALLE 109;TR 20 108 A 95;5923439;;BOGOTA D.C.;BOGOTA
SUPERPHARMA QUIRIGUA;TV 92A 78 05;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
TIENDA MISCELANEA LA CANDELARIA;CL 47 16 04;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TIENDA EL MANA DE LA 53;CRA 53 79 315;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
ACU´A PUENTE LARGO;CL 106 B 43 A 86;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ACUðA PUENTE LARGO;CL 106 B 43 A 86;5923439;;BOGOTA D.C.;BOGOTA
TIENDA ZAPATOCA DE LA 43;CRA 43 79 256 LC 1;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
DROGUERIA RINOS;CRA  78 47 DD 57;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
DROGUERIA COMUNA 13;CL 40 105 18;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
MIL COLORES DE PINTUCO FERROTIENDA;CL 5 18 31;5923439;COLOMBIA;CAUCA;POPAYAN
MIL COLORES DE PINTUCO FERROTIENDA;CL 5 18 31;5923439;COLOMBIA;CAUCA;POPAYAN
CAFAM GRANADA HILLS;AV 13 144 48;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
CAFAM GRANADA HILLS;AV 13 144 48;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
DROGUERIA LA CELESTE ¯ 2;CL 19 5B 20;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
INVERSIONES CIUDAD PLANETA RICA;CRA 8 22 3;5923439;COLOMBIA;CORDOBA;MONTERIA
FARMACIA MAGISTRAL;CRA  4 25 35;5923439;COLOMBIA;CHOCO;QUIBDO
FERRETERIA METROPOLIS CL 84 LTDA;CRA  43 82 209;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
RAPITIENDA ESTACION DE SERVICIO PARQUE OLAYA;CRA 14 21 27;5923439;COLOMBIA;RISARALDA;PEREIRA
COLSUBSIDIO GIRARDOT;CR 10 25 21;5923439;COLOMBIA;CUNDINAMARCA;GIRARDOT
COLSUBSIDIO GIRARDOT;CR 10 25 21;5923439;COLOMBIA;CUNDINAMARCA;GIRARDOT
DROGUERIA DELTA SUR;CRA  8 8 62;5923439;COLOMBIA;CUNDINAMARCA;SIBATE
TIENDA REVIVIR;CL 74 NO 49 59 LC 2;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
WWW H & S COMUNICACIONES;CL 17 17 42 SUR;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
CARREFOUR CALI SURORIENTAL;CL 70 ENTRE CR 3 Y 4 D;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
MISCELANEA Y VARIEDADES AQUI ES DELIO EMPRESA UNIP;CL 23 27 34;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
TIENDA Y MISCELANIAS LOS CRISTALES;CRA  61B  72 122;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TREASURE ISLAND;CL 70C 26B 65 LC 2;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
TIENDA Y PANADERIA LA FE - LUIS ORTIZ GOMEZ;CRA 21B 58 38;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
SUPERPHARMA - DUITAMA;CR 15 17 01;5923439;COLOMBIA;BOYACA;DUITAMA
SUPERPHARMA ZIPAQUIRA;CR 10 5 56;5923439;COLOMBIA;CUNDINAMARCA;ZIPAQUIRA
CENTRO SERVICIOS IRIS NO. 3;CRA 1 56 26;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
DIVERPHARMA;CR 56 4 D 83 NUEVA;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
TIENDA MISCELANEA EL OASIS DE LA 86;CL 86 64 D 88;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
MALOTI MISCELANEA;CL 7 92 A 56 LC 3;5923439;COLOMBIA;BOGOTA D.C.;BOGOTA
ESTADERO Y JUEGO DE MAQUINAS RIO GRANDE;CL 45 30 127;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
VARIEDADES AMERICA;TERM. DE TRANSP. LC 20;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
MOBIL CASTILLA;TR 78 65 71;5923439;COLOMBIA;ANTIOQUIA;MEDELLIN
ESSO EL PRADO;CL 76 52 ESQ;5923439;COLOMBIA;ATLANTICO;BARRANQUILLA
SUPERMERCADO VERSALLES;CR 25 CL 50;5923439;COLOMBIA;CALDAS;MANIZALES
AML COSMOCENTRO;CL 5 50 103;5923439;COLOMBIA;VALLE DEL CAUCA;CALI
