CL 16 16 17;TOLIMA;SALDAÑA
CL 16 18 134;CESAR;VALLEDUPAR
CL 16 19 14;CAUCA;PUERTO TEJADA
CL 16 20 04;CESAR;VALLEDUPAR
CL 16 22 65;CESAR;VALLEDUPAR
CL 16 32 01;NARIÑO;PASTO
CL 16 4 50;CALDAS;LA DORADA
CL 16 40 A 40;VALLE DEL CAUCA;CALI
CL 16 5 31;QUINDIO;QUIMBAYA
CL 16 7 113;CESAR;VALLEDUPAR
CL 16 85 36 LC 2;VALLE DEL CAUCA;CALI
CL 16 9 92;CESAR;VALLEDUPAR
CL 16 99 B 05;ANTIOQUIA;MEDELLIN
CL 16 A SUR 32 B 38 LC 106;ANTIOQUIA;MEDELLIN
CL 16 B 30 53;NARIÑO;PASTO
CL 16 SUR 4 01 ESTE;BOGOTA;BOGOTÁ D.C.
CL 161 16 A 40;BOGOTA;BOGOTÁ D.C.
CL 161 16 A 40;BOGOTA;BOGOTÁ D.C.
CL 161 A 20 07;BOGOTA;BOGOTÁ D.C.
CL 161 B 8 G 03 LC 3;BOGOTA;BOGOTÁ D.C.
CL 162 8 B 54;BOGOTA;BOGOTÁ D.C.
CL 162 8 F 10;BOGOTA;BOGOTÁ D.C.
CL 162 A 5 A 15;BOGOTA;BOGOTÁ D.C.
CL 163 15 09;BOGOTA;BOGOTÁ D.C.
CL 163 55 BIS 01;BOGOTA;BOGOTÁ D.C.
CL 163 62 35;BOGOTA;BOGOTÁ D.C.
CL 163 A 12 B 46;BOGOTA;BOGOTÁ D.C.
CL 163 A 14 A 04;BOGOTA;BOGOTÁ D.C.
CL 163 A 14 B 68;BOGOTA;BOGOTÁ D.C.
CL 163 A 16 A 05;BOGOTA;BOGOTÁ D.C.
CL 163 A 17 07;BOGOTA;BOGOTÁ D.C.
CL 163 A 8 D 08;BOGOTA;BOGOTÁ D.C.
CL 163 A 8 D 08;BOGOTA;BOGOTÁ D.C.
CL 163 A 8 F 63;BOGOTA;BOGOTÁ D.C.
CL 164 16 B 78;BOGOTA;BOGOTÁ D.C.
CL 164 16 B 78;BOGOTA;BOGOTÁ D.C.
CL 164 23 29;BOGOTA;BOGOTÁ D.C.
CL 164 23 29;BOGOTA;BOGOTÁ D.C.
CL 165 49 21;BOGOTA;BOGOTÁ D.C.
CL 166 46 53;BOGOTA;BOGOTÁ D.C.
CL 166 55 C 99;BOGOTA;BOGOTÁ D.C.
CL 167 50 19;BOGOTA;BOGOTÁ D.C.
CL 167 54 B 05;BOGOTA;BOGOTÁ D.C.
CL 167 54 D 48 LC 6;BOGOTA;BOGOTÁ D.C.
CL 167 65 45;BOGOTA;BOGOTÁ D.C.
CL 167 73 02;BOGOTA;BOGOTÁ D.C.
CL 167 73 51;BOGOTA;BOGOTÁ D.C.
CL 169 50 37;BOGOTA;BOGOTÁ D.C.
CL 169 A 55 A 90;BOGOTA;BOGOTÁ D.C.
CL 17 10 02;SANTANDER;BUCARAMANGA
CL 17 10 158;MAGDALENA;CIÉNAGA
CL 17 10 52;CUNDINAMARCA;ZIPAQUIRA
CL 17 11 74;NORTE DE SANTANDER;CÚCUTA
CL 17 112 58;BOGOTA;BOGOTÁ D.C.
CL 17 112 58;BOGOTA;BOGOTÁ D.C.
CL 17 12 86;BOGOTA;BOGOTÁ D.C.
CL 17 13 42;NARIÑO;TÚQUERRES
CL 17 13 55;ATLANTICO;BARRANQUILLA
CL 17 14 04;CASANARE;YOPAL
CL 17 15 16;NORTE DE SANTANDER;CÚCUTA
CL 17 16 17;BOYACA;DUITAMA
CL 17 17 03;QUINDIO;ARMENIA (QUINDIO)
CL 17 17 14;BOYACA;DUITAMA
CL 17 17 A 43;ATLANTICO;BARANOA
CL 17 18 46;ATLANTICO;SOLEDAD
CL 17 18 96;ATLANTICO;BARRANQUILLA
CL 17 19 16;MAGDALENA;CIÉNAGA
CL 17 20 29 CL 21 22;CAUCA;PUERTO TEJADA
CL 17 24 80;NARIÑO;PASTO
CL 17 25 05;SANTANDER;BUCARAMANGA
CL 17 26 33;ATLANTICO;BARRANQUILLA
CL 17 3 19;TOLIMA;IBAGUÉ
CL 17 3 63 PI 1 AP 2;BOLIVAR;MAGANGUÉ
CL 17 3 63 PI 1 AP 2;BOLIVAR;MAGANGUÉ
CL 17 33 05;VALLE DEL CAUCA;CALI
CL 17 5 06 EQ;QUINDIO;MONTENEGRO
CL 17 7 24;BOGOTA;BOGOTÁ D.C.
CL 17 7 29;HUILA;CAMPOALEGRE
CL 17 8 02;ATLANTICO;BARRANQUILLA
CL 17 8 15;BOGOTA;BOGOTÁ D.C.
CL 17 9 43 LC 1;MAGDALENA;CIÉNAGA
CL 17 9 82;BOGOTA;BOGOTÁ D.C.
CL 17 9 82 CE COLSEGUROS /CENTRO;BOGOTA;BOGOTÁ D.C.
CL 17 99 91;BOGOTA;BOGOTÁ D.C.
CL 17 A 69 96;BOGOTA;BOGOTÁ D.C.
CL 17 B 3 79 ESTE LC 2;META;VILLAVICENCIO
CL 17 BIS 28 39;BOGOTA;BOGOTÁ D.C.
CL 17 N 18 E 14;NORTE DE SANTANDER;CÚCUTA
CL 17 S 13 26;BOGOTA;BOGOTÁ D.C.
CL 17 SUR 11 B 41;BOGOTA;BOGOTÁ D.C.
CL 17 SUR 24 F 04;BOGOTA;BOGOTÁ D.C.
CL 17 SUR 29 B 40;BOGOTA;BOGOTÁ D.C.
CL 17 SUR 8 A 27;BOGOTA;BOGOTÁ D.C.
CL 17 SUR 9 A 62;BOGOTA;BOGOTÁ D.C.
CL 170 64 47;BOGOTA;BOGOTÁ D.C.
CL 170 64 47 BR SAN JOSE;BOGOTA;BOGOTÁ D.C.
CL 170 AV BOYACA;BOGOTA;BOGOTÁ D.C.
CL 172 22 A 05;BOGOTA;BOGOTÁ D.C.
CL 172 A 21 A 18;BOGOTA;BOGOTÁ D.C.
CL 174 A 45 77;BOGOTA;BOGOTÁ D.C.
CL 175 63 06;BOGOTA;BOGOTÁ D.C.
CL 175 64 23;BOGOTA;BOGOTÁ D.C.
CL 176 52 28;BOGOTA;BOGOTÁ D.C.
CL 178 52 04;BOGOTA;BOGOTÁ D.C.
CL 17F 136 10 BR FONTIBON FLORENCIA;BOGOTA;BOGOTÁ D.C.
CL 18 102 53;BOGOTA;BOGOTÁ D.C.
CL 18 11 33;BOYACA;DUITAMA
CL 18 11 56;BOYACA;CHIQUINQUIRÁ
CL 18 11 69;NARIÑO;PASTO
CL 18 115 26;BOGOTA;BOGOTÁ D.C.
CL 18 12 77;BOGOTA;BOGOTÁ D.C.
CL 18 13 86 88;BOYACA;DUITAMA
CL 18 15 51;BOGOTA;BOGOTÁ D.C.
CL 18 17A 80;CESAR;BOSCONIA
CL 18 18 86;ATLANTICO;GALAPA
CL 18 19 11;BOYACA;DUITAMA
CL 18 19 28;ATLANTICO;SOLEDAD
CL 18 20 56;CAUCA;TIMBÍO
CL 18 26 40 CENTRO;NARIÑO;PASTO
CL 18 30 74;NARIÑO;PASTO
CL 18 34 A 45;NARIÑO;PASTO
CL 18 35 69;ANTIOQUIA;MEDELLIN
CL 18 37 60 LC 1A;ATLANTICO;SOLEDAD
CL 18 5 N 25;VALLE DEL CAUCA;CALI
CL 18 6 44;CORDOBA;PLANETA RICA
CL 18 9 01;HUILA;CAMPOALEGRE
CL 18 A 1 23 BIS ESTE SOACHA;CUNDINAMARCA;SOACHA
CL 18 A 1 23 BIS ESTE SOACHA;CUNDINAMARCA;SOACHA
CL 18 A 10 57 AV IDEMA;NARIÑO;PASTO
CL 18 A 14 00;NARIÑO;PASTO
CL 18 A 4 E 31;NARIÑO;PASTO
CL 18 A 75 A 30;ANTIOQUIA;MEDELLIN
CL 18 AV 2 N 1 B 72 LC 4;NORTE DE SANTANDER;CÚCUTA
CL 18 BIS 1 36 05;CESAR;VALLEDUPAR
CL 18 KR 20 46;ATLANTICO;LURUACO
